id,submission_time,vote_number,question_id,message
0,1493398154,4,1,You need to use brackets: my_list = []
1,1493088154,35,1,Look it up in the Python docs
2,1570089333,0,4,Nem tudom
3,1570089357,0,3,Halacska
4,1570089380,0,3,kalapács
5,1570089386,0,3,Evelin tudja
6,1570089404,0,3,De ki az az Evelin?
7,1570089412,0,3,nem tudom
8,1570089430,0,2,Olivér te király
9,1570089439,0,2,Papa mama kisunoka
10,1570089461,0,1,Alap váza
10,1570089469,0,1,aranyos kiskutya
10,1570090640,0,1,valami
